Date,Close
2/12/2019 16:00:00,22.82
2/13/2019 16:00:00,22.85
2/14/2019 16:00:00,23.13
2/15/2019 16:00:00,23.68
2/19/2019 16:00:00,23.95
2/20/2019 16:00:00,23.95
2/21/2019 16:00:00,23.92
2/22/2019 16:00:00,24.36
2/25/2019 16:00:00,24.71
2/26/2019 16:00:00,24.21
2/27/2019 16:00:00,23.48
2/28/2019 16:00:00,23.53
3/1/2019 16:00:00,23.68
3/4/2019 16:00:00,23.37
3/5/2019 16:00:00,23.5
3/6/2019 16:00:00,22.41
3/7/2019 16:00:00,22.08
3/8/2019 16:00:00,22.01
3/11/2019 16:00:00,22.96
3/12/2019 16:00:00,23.49
3/13/2019 16:00:00,23.38
3/14/2019 16:00:00,22.82
3/15/2019 16:00:00,23.29
3/18/2019 16:00:00,23.25
3/19/2019 16:00:00,26
3/20/2019 16:00:00,25.7
3/21/2019 16:00:00,27.89
3/22/2019 16:00:00,26.37
3/25/2019 16:00:00,25.97
3/26/2019 16:00:00,25.69
3/27/2019 16:00:00,24.89
3/28/2019 16:00:00,25.06
3/29/2019 16:00:00,25.52
4/1/2019 16:00:00,26.36
4/2/2019 16:00:00,26.75
4/3/2019 16:00:00,29.02
4/4/2019 16:00:00,29.09
4/5/2019 16:00:00,28.98
4/8/2019 16:00:00,28.53
4/9/2019 16:00:00,27.24
4/10/2019 16:00:00,27.83
4/11/2019 16:00:00,27.79
4/12/2019 16:00:00,27.85
4/15/2019 16:00:00,27.33
4/16/2019 16:00:00,27.93
4/17/2019 16:00:00,27.49
4/18/2019 16:00:00,27.68
4/22/2019 16:00:00,28.18
4/23/2019 16:00:00,27.97
4/24/2019 16:00:00,28.46
4/25/2019 16:00:00,27.66
4/26/2019 16:00:00,27.88
4/29/2019 16:00:00,27.69
4/30/2019 16:00:00,27.63
5/1/2019 16:00:00,26.81
5/2/2019 16:00:00,28.29
5/3/2019 16:00:00,28.22
5/6/2019 16:00:00,27.42
5/7/2019 16:00:00,26.66
5/8/2019 16:00:00,27.09
5/9/2019 16:00:00,27.21
5/10/2019 16:00:00,27.96
5/13/2019 16:00:00,26.24
5/14/2019 16:00:00,27.32
5/15/2019 16:00:00,27.58
5/16/2019 16:00:00,28.01
5/17/2019 16:00:00,27.5
5/20/2019 16:00:00,26.68
5/21/2019 16:00:00,27.35
5/22/2019 16:00:00,27.41
5/23/2019 16:00:00,26.36
5/24/2019 16:00:00,26.44
5/28/2019 16:00:00,29.03
5/29/2019 16:00:00,28.09
5/30/2019 16:00:00,28.03
5/31/2019 16:00:00,27.41
6/3/2019 16:00:00,27.58
6/4/2019 16:00:00,29.57
6/5/2019 16:00:00,29.5
6/6/2019 16:00:00,31.82
6/7/2019 16:00:00,32.41
6/10/2019 16:00:00,33.23
6/11/2019 16:00:00,32.41
6/12/2019 16:00:00,32.18
6/13/2019 16:00:00,31.39
6/14/2019 16:00:00,30.36
6/17/2019 16:00:00,29.2
6/18/2019 16:00:00,30.45
6/19/2019 16:00:00,30.5
6/20/2019 16:00:00,30.01
6/21/2019 16:00:00,29.1
6/24/2019 16:00:00,29.26
6/25/2019 16:00:00,28.86
6/26/2019 16:00:00,29.92
6/27/2019 16:00:00,30.74
6/28/2019 16:00:00,30.37
7/1/2019 16:00:00,31.2
7/2/2019 16:00:00,31.24
7/3/2019 13:00:00,31.19
7/5/2019 16:00:00,31.5
7/8/2019 16:00:00,32.04
7/9/2019 16:00:00,33.15
7/10/2019 16:00:00,33.79
7/11/2019 16:00:00,33.06
7/12/2019 16:00:00,33.21
7/15/2019 16:00:00,34.39
7/16/2019 16:00:00,33.85
7/17/2019 16:00:00,33.6
7/18/2019 16:00:00,33
7/19/2019 16:00:00,32.51
7/22/2019 16:00:00,32.85
